Image_Name,Classification
AFBI001.jpg',0
AFBI002.jpg',0
AFBI003.jpg',0
AFBI004.jpg',0
AFBI005.jpg',0
AFBI006.jpg',0
AFBI008.jpg',0
AFBI009.jpg',0
AFBI010.jpg',0
AFBI011.jpg',0
AFBI012.jpg',0
AFBI013.jpg',1
AFBI014.jpg',0
AFBI016.jpg',1
AFBI017.jpg',0
AFBI018.jpg',1
AFBI019.jpg',0
AFBI021.jpg',0
AFBI022.jpg',0
AFBI023.jpg',0
AFBI024.jpg',0
AFBI025.jpg',0
AFBI027.jpg',0
AFBI028.jpg',0
AFBI029.jpg',1
AFBI030.jpg',0
AFBI031.jpg',0
AFBI033.jpg',0
AFBI034.jpg',1
AFBI036.jpg',0
AFBI039.jpg',1
AFBI041.jpg',1
AFBI042.jpg',1
AFBI043.jpg',1
AFBI045.jpg',0
AFBI047.jpg',1
AFBI048.jpg',0
AFBI049.jpg',0
AFBI050.jpg',0
AFBI051.jpg',0
AFBI052.jpg',1
AFBI053.jpg',0
AFBI054.jpg',0
AFBI057.jpg',0
AFBI058.jpg',0
AFBI059.jpg',0
AFBI060.jpg',0
AFBI061.jpg',0
AFBI062.jpg',0
AFBI063.jpg',0
AFBI064.jpg',0
AFBI065.jpg',0
AFBI066.jpg',0
AFBI067.jpg',0
AFBI068.jpg',0
AFBI070.jpg',0
AFBI071.jpg',0
AFBI072.jpg',0
AFBI073.jpg',0
AFBI074.jpg',0
AFBI075.jpg',0
AFBI076.jpg',0
AFBI077.jpg',0
AFBI078.jpg',0
AFBI079.jpg',0
AFBI080.jpg',0
AFBI081.jpg',0
AFBI082.jpg',0
AFBI083.jpg',0
AFBI084.jpg',0
AFBI085.jpg',0
AFBI086.jpg',0
AFBI087.jpg',0
AFBI088.jpg',0
AFBI089.jpg',0
AFBI090.jpg',0
AFBI091.jpg',0
AFBI092.jpg',0
AFBI093.jpg',0
AFBI094.jpg',0
AFBI095.jpg',0
AFBI097.jpg',1
AFBI098.jpg',1
AFBI099.jpg',1
AFBI100.jpg',1
AFBI101.jpg',2
AFBI102.jpg',2
AFBI104.jpg',1
AFBI105.jpg',1
AFBI106.jpg',1
AFBI107.jpg',1
AFBI108.jpg',1
AFBI109.jpg',0
AFBI110.jpg',1
AFBI111.jpg',0
AFBI113.jpg',0
AFBI114.jpg',0
AFBI115.jpg',0
AFBI116.jpg',0
AFBI117.jpg',0
AFBI118.jpg',0
AFBI119.jpg',0
AFBI120.jpg',0
AFBI121.jpg',0
AFBI122.jpg',0
AFBI123.jpg',0
AFBI125.jpg',0
AFBI126.jpg',0
AFBI127.jpg',0
AFBI128.jpg',0
AFBI131.jpg',0
AFBI132.jpg',0
AFBI133.jpg',0
AFBI134.jpg',0
AFBI135.jpg',0
AFBI136.jpg',0
AFBI137.jpg',1
AFBI138.jpg',0
AFBI139.jpg',1
AFBI140.jpg',0
AFBI141.jpg',0
AFBI142.jpg',0
AFBI143.jpg',0
AFBI144.jpg',0
AFBI146.jpg',0
AFBI147.jpg',0
AFBI148.jpg',0
AFBI149.jpg',0
AFBI150.jpg',0
AFBI152.jpg',0
AFBI153.jpg',0
AFBI157.jpg',0
AFBI158.jpg',0
AFBI159.jpg',0
AFBI160.jpg',0
AFBI161.jpg',0
AFBI162.jpg',0
AFBI163.jpg',0
AFBI164.jpg',0
AFBI165.jpg',0
AFBI166.jpg',0
AFBI167.jpg',0
AFBI168.jpg',0
AFBI169.jpg',0
AFBI170.jpg',0
AFBI171.jpg',0
AFBI172.jpg',0
AFBI173.jpg',0
AFBI174.jpg',0
AFBI175.jpg',0
AFBI176.jpg',0
AFBI177.jpg',0
AFBI178.jpg',0
AFBI179.jpg',0
AFBI180.jpg',1
AFBI181.jpg',1
AFBI183.jpg',0
AFBI184.jpg',0
AFBI185.jpg',0
AFBI186.jpg',0
AFBI187.jpg',0
AFBI188.jpg',0
AFBI189.jpg',0
AFBI190.jpg',0
AFBI191.jpg',0
AFBI192.jpg',0
AFBI193.jpg',0
AFBI194.jpg',1
AFBI195.jpg',0
AFBI196.jpg',0
AFBI197.jpg',0
AFBI198.jpg',0
AFBI199.jpg',1
AFBI200.jpg',0
AFBI201.jpg',0
AFBI202.jpg',0
AFBI203.jpg',1
AFBI204.jpg',0
AFBI207.jpg',0
AFBI208.jpg',1
AFBI209.jpg',1
AFBI210.jpg',1
AFBI211.jpg',0
AFBI212.jpg',0
AFBI213.jpg',0
AFBI214.jpg',0
AFBI215.jpg',1
AFBI216.jpg',1
AFBI217.jpg',1
AFBI218.jpg',1
AFBI219.jpg',1
AFBI223.jpg',0
AFBI224.jpg',0
AFBI225.jpg',0
AFBI226.jpg',0
AFBI227.jpg',0
AFBI228.jpg',0
AFBI229.jpg',0
AFBI230.jpg',0
AFBI231.jpg',0
AFBI232.jpg',0
AFBI233.jpg',0
AFBI234.jpg',0
AFBI235.jpg',0
AFBI236.jpg',0
AFBI237.jpg',0
AFBI238.jpg',0
AFBI239.jpg',0
AFBI240.jpg',2
AFBI241.jpg',2
AFBI242.jpg',2
AFBI244.jpg',0
AFBI245.jpg',0
AFBI246.jpg',0
AFBI247.jpg',0
AFBI248.jpg',0
AFBI249.jpg',0
AFBI250.jpg',0
AFBI252.jpg',0
AFBI254.jpg',0
AFBI255.jpg',0
AFBI256.jpg',0
AFBI257.jpg',0
AFBI258.jpg',0
AFBI259.jpg',0
AFBI260.jpg',0
AFBI261.jpg',0
AFBI262.jpg',0
AFBI263.jpg',0
AFBI264.jpg',0
AFBI265.jpg',0
AFBI266.jpg',0
AFBI267.jpg',0
AFBI268.jpg',0
AFBI269.jpg',0
AFBI270.jpg',0
AFBI271.jpg',0
AFBI272.jpg',0
AFBI273.jpg',0
AFBI274.jpg',0
AFBI275.jpg',0
AFBI276.jpg',0
AFBI277.jpg',0
AFBI278.jpg',0
AFBI279.jpg',0
AFBI280.jpg',0
AFBI281.jpg',0
AFBI282.jpg',0
AFBI283.jpg',0
AFBI284.jpg',0
AFBI285.jpg',0
AFBI286.jpg',0
AFBI287.jpg',0
AFBI288.jpg',2
AFBI289.jpg',2
AFBI290.jpg',2
AFBI291.jpg',2
AFBI292.jpg',2
AFBI293.jpg',2
AFBI294.jpg',2
AFBI295.jpg',3
AFBI299.jpg',2
AFBI300.jpg',1
AFBI301.jpg',1
AFBI302.jpg',0
AFBI303.jpg',1
AFBI304.jpg',0
AFBI305.jpg',0
AFBI306.jpg',0
AFBI307.jpg',1
AFBI308.jpg',0
AFBI309.jpg',0
AFBI310.jpg',0
AFBI311.jpg',1
AFBI312.jpg',0
AFBI313.jpg',1
AFBI315.jpg',0
AFBI316.jpg',0
AFBI317.jpg',0
AFBI324.jpg',0
AFBI325.jpg',0
AFBI326.jpg',0
AFBI327.jpg',0
AFBI328.jpg',0
